,#,News Org,Created,Positive,Neutral,Negative,Compound,Tweet
0,0,@BBC,Thu Mar 08 20:33:04 +0000 2018,0.144,0.856,0.0,0.4019,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL"
1,1,@BBC,Thu Mar 08 20:03:04 +0000 2018,0.0,1.0,0.0,0.0,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC"
2,2,@BBC,Thu Mar 08 18:00:06 +0000 2018,0.0,1.0,0.0,0.0,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO"
3,3,@BBC,Thu Mar 08 17:30:11 +0000 2018,0.159,0.664,0.177,-0.1027,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY"
4,4,@BBC,Thu Mar 08 17:00:09 +0000 2018,0.0,1.0,0.0,0.0,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S"
5,5,@BBC,Thu Mar 08 16:30:05 +0000 2018,0.236,0.764,0.0,0.5719,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS"
6,6,@BBC,Thu Mar 08 16:05:42 +0000 2018,0.181,0.819,0.0,0.5803,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…"
7,7,@BBC,Thu Mar 08 15:30:09 +0000 2018,0.0,1.0,0.0,0.0,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N"
8,8,@BBC,Thu Mar 08 15:09:13 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…"
9,9,@BBC,Thu Mar 08 15:00:05 +0000 2018,0.0,1.0,0.0,0.0,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh"
10,10,@BBC,Thu Mar 08 14:30:02 +0000 2018,0.0,0.857,0.143,-0.4588,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI"
11,11,@BBC,Thu Mar 08 13:30:05 +0000 2018,0.0,1.0,0.0,0.0,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ"
12,12,@BBC,Thu Mar 08 13:09:22 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo"
